logical clock,global time,event type,queue length
1,1,send,0
2,2,receive,0
3,3,receive,0
4,4,receive,0
5,5,receive,0
6,6,receive,0
7,7,receive,1
8,8,receive,0
9,9,receive,0
10,10,internal,0
11,11,receive,0
12,12,send,0
13,13,receive,0
14,14,send,0
15,15,send,0
16,16,send,0
17,17,receive,0
18,18,receive,1
19,19,receive,0
20,20,receive,0
21,21,send,0
22,22,send,0
23,23,send,0
24,24,send,0
25,25,receive,0
26,26,receive,0
27,27,send,0
28,28,send,0
29,29,send,0
30,30,send,0
31,31,internal,0
32,32,receive,0
33,33,send,0
34,34,send,0
35,35,internal,0
36,36,send,0
37,37,send,0
38,38,send,0
39,39,internal,0
40,40,receive,0
41,41,receive,1
42,42,receive,0
43,43,receive,0
44,44,receive,0
45,45,send,0
46,46,internal,0
47,47,send,0
48,48,send,0
49,49,send,0
50,50,send,0
51,51,internal,0
52,52,internal,0
53,53,receive,1
54,54,receive,0
55,55,receive,0
56,56,receive,1
57,57,receive,1
58,58,receive,0
59,59,receive,1
60,60,receive,0
61,61,send,0
