logical clock,global time,event type,queue length
1,1,receive,0
2,2,internal,0
3,3,receive,0
4,4,internal,0
5,5,send,0
6,6,send,0
7,7,send,0
8,8,receive,0
9,9,send,0
10,10,send,0
11,11,receive,0
12,12,send,0
13,13,send,0
14,14,receive,0
15,15,receive,0
16,16,receive,0
17,17,receive,1
18,18,receive,1
19,19,receive,1
20,20,receive,1
21,21,receive,2
22,22,receive,2
23,23,receive,3
24,24,receive,2
25,25,receive,1
26,26,receive,0
27,27,receive,0
28,28,receive,0
29,29,send,0
30,30,send,0
31,31,send,0
32,32,send,0
33,33,send,0
34,34,receive,0
35,35,receive,0
36,36,receive,0
37,37,internal,0
38,38,internal,0
39,39,send,0
40,40,send,0
41,41,receive,0
42,42,receive,0
43,43,receive,0
44,44,send,0
45,45,send,0
46,46,send,0
47,47,receive,0
48,48,send,0
49,49,send,0
50,50,receive,0
51,51,send,0
52,52,send,0
53,53,internal,0
54,54,internal,0
55,55,internal,0
56,56,receive,0
57,57,send,0
58,59,internal,0
59,60,send,0
60,61,receive,0
