logical clock,global time,event type,queue length
1,1678065850,internal,0
2,1678065851,send,0
7,1678065852,receive,0
10,1678065853,receive,1
11,1678065854,receive,1
17,1678065855,receive,1
20,1678065856,receive,1
27,1678065857,receive,3
29,1678065858,receive,3
30,1678065859,receive,2
31,1678065860,receive,3
32,1678065861,receive,3
41,1678065862,receive,3
42,1678065863,receive,3
45,1678065864,receive,5
50,1678065865,receive,5
54,1678065866,receive,6
55,1678065867,receive,6
56,1678065868,receive,6
59,1678065869,receive,6
60,1678065870,receive,7
65,1678065871,receive,7
67,1678065872,receive,6
68,1678065873,receive,6
74,1678065874,receive,6
77,1678065875,receive,5
80,1678065876,receive,4
82,1678065877,receive,4
84,1678065878,receive,4
90,1678065879,receive,6
97,1678065880,receive,6
108,1678065881,receive,6
114,1678065882,receive,5
116,1678065883,receive,5
117,1678065884,receive,4
118,1678065885,receive,3
120,1678065886,receive,3
125,1678065887,receive,2
131,1678065888,receive,2
143,1678065889,receive,1
154,1678065890,receive,2
159,1678065891,receive,4
160,1678065892,receive,3
161,1678065893,receive,4
165,1678065894,receive,4
166,1678065895,receive,6
169,1678065896,receive,5
172,1678065897,receive,5
175,1678065898,receive,4
179,1678065899,receive,4
180,1678065900,receive,5
181,1678065901,receive,5
184,1678065902,receive,4
191,1678065903,receive,4
200,1678065904,receive,4
201,1678065905,receive,6
202,1678065906,receive,5
210,1678065907,receive,4
213,1678065908,receive,4
218,1678065909,receive,4
219,1678065910,receive,3
