logical clock,global time,event type,queue length
0.3,1,send,0
0.7,1,internal,0
1.0,1,internal,0
1.3,2,internal,0
1.7,2,internal,0
2.0,2,receive,0
2.3,3,internal,0
2.7,3,internal,0
3.0,3,internal,0
3.3,4,internal,0
3.7,4,internal,0
4.0,4,internal,0
4.3,5,internal,0
4.7,5,internal,0
5.0,5,internal,0
5.3,6,internal,0
5.7,6,internal,0
6.0,6,send,0
6.3,7,internal,0
6.7,7,receive,0
7.0,7,internal,0
7.3,8,internal,0
7.7,8,internal,0
8.0,8,internal,0
8.3,9,receive,0
8.7,9,send,0
9.0,9,receive,0
9.3,10,internal,0
9.7,10,internal,0
10.0,10,internal,0
10.3,11,receive,0
10.7,11,internal,0
11.0,11,internal,0
11.3,12,internal,0
11.7,12,send,0
12.0,12,internal,0
12.3,13,internal,0
12.7,13,receive,0
13.0,13,receive,0
13.3,14,send,0
13.7,14,internal,0
14.0,14,internal,0
14.3,15,send,0
14.7,15,send,0
15.0,15,internal,0
15.3,16,internal,0
15.7,16,send,0
16.0,16,internal,0
16.3,17,internal,0
16.7,17,receive,0
17.0,17,internal,0
17.3,18,receive,0
17.7,18,receive,0
18.0,18,internal,0
18.3,19,send,0
18.7,19,send,0
19.0,19,receive,0
19.3,20,internal,0
19.7,20,receive,0
20.0,20,internal,0
20.3,21,receive,0
20.7,21,internal,0
21.0,21,internal,0
21.3,22,receive,0
21.7,22,send,0
22.0,22,internal,0
22.3,23,receive,0
22.7,23,internal,0
23.0,23,send,0
23.3,24,internal,0
23.7,24,receive,0
24.0,24,receive,0
24.3,25,receive,0
24.7,25,internal,0
25.0,25,receive,1
25.3,26,receive,1
25.7,26,receive,1
26.0,26,receive,0
26.3,27,internal,0
26.7,27,internal,0
27.0,27,send,0
27.3,28,internal,0
27.7,28,internal,0
28.0,28,internal,0
28.3,29,internal,0
28.7,29,send,0
29.0,29,internal,0
29.3,30,internal,0
29.7,30,send,0
30.0,31,receive,0
30.3,31,internal,0
30.7,31,internal,0
31.0,32,receive,0
31.3,32,send,0
31.7,32,receive,0
32.0,33,internal,0
32.3,33,send,0
32.7,33,receive,1
33.0,34,receive,1
33.3,34,receive,0
33.7,34,internal,0
34.0,35,internal,0
34.3,35,internal,0
34.7,35,send,0
35.0,36,receive,0
35.3,36,internal,0
35.7,36,internal,0
36.0,37,send,0
36.3,37,internal,0
36.7,37,internal,0
37.0,38,internal,0
37.3,38,receive,0
37.7,38,internal,0
38.0,39,receive,0
38.3,39,internal,0
38.7,39,internal,0
39.0,40,internal,0
39.3,40,send,0
39.7,40,internal,0
40.0,41,send,0
40.3,41,receive,0
40.7,41,internal,0
41.0,42,send,0
41.3,42,internal,0
41.7,42,internal,0
42.0,43,receive,0
42.3,43,internal,0
42.7,43,receive,0
43.0,44,receive,0
43.3,44,internal,0
43.7,44,receive,0
44.0,45,send,0
44.3,45,send,0
44.7,45,internal,0
45.0,46,send,0
45.3,46,internal,0
45.7,46,receive,0
46.0,47,receive,0
46.3,47,send,0
46.7,47,send,0
47.0,48,internal,0
47.3,48,receive,0
47.7,48,internal,0
48.0,49,internal,0
48.3,49,internal,0
48.7,49,send,0
49.0,50,internal,0
49.3,50,send,0
49.7,50,receive,0
50.0,51,receive,1
50.3,51,receive,1
50.7,51,receive,1
51.0,52,receive,1
51.3,52,receive,1
51.7,52,receive,0
52.0,53,receive,0
52.3,53,receive,0
52.7,53,receive,0
53.0,54,internal,0
53.3,54,receive,0
53.7,54,receive,1
54.0,55,receive,0
54.3,55,receive,0
54.7,55,internal,0
55.0,56,internal,0
55.3,56,send,0
55.7,56,internal,0
56.0,57,receive,0
56.3,57,internal,0
56.7,57,send,0
57.0,58,internal,0
57.3,58,internal,0
57.7,58,internal,0
58.0,59,internal,0
58.3,59,internal,0
58.7,60,send,0
59.0,60,receive,0
59.3,60,receive,0
59.7,61,internal,0
