logical clock,global time,event type,queue length
1.0,1,receive,1
2.0,2,receive,3
3.0,3,receive,3
4.0,4,receive,4
5.0,5,receive,4
6.0,6,receive,3
7.0,7,receive,2
8.0,8,receive,1
9.0,9,receive,2
10.0,10,receive,2
11.0,11,receive,2
12.0,12,receive,2
13.0,13,receive,4
14.0,14,receive,5
15.0,15,receive,4
16.0,16,receive,4
17.0,17,receive,3
18.0,18,receive,2
19.0,19,receive,3
20.0,20,receive,3
21.0,21,receive,3
22.0,22,receive,4
23.0,23,receive,4
24.0,24,receive,5
25.0,25,receive,6
26.0,26,receive,6
27.0,27,receive,5
28.0,28,receive,5
29.0,29,receive,6
30.0,30,receive,6
31.0,31,receive,6
32.0,32,receive,8
33.0,33,receive,9
34.0,34,receive,9
35.0,35,receive,9
36.0,36,receive,8
37.0,37,receive,8
38.0,38,receive,8
39.0,39,receive,8
40.0,40,receive,10
41.0,41,receive,11
42.0,42,receive,12
43.0,43,receive,14
44.0,44,receive,14
45.0,45,receive,14
46.0,46,receive,15
47.0,47,receive,15
48.0,48,receive,14
49.0,49,receive,15
50.0,50,receive,18
51.0,51,receive,22
52.0,52,receive,22
53.0,53,receive,23
54.0,54,receive,26
55.0,55,receive,26
56.0,56,receive,26
57.0,57,receive,26
58.0,58,receive,26
59.0,59,receive,26
60.0,60,receive,26
61.0,61,receive,26
